"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPGAMT02.FNBM.CORP";;;;;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPGAMT02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPGAMT02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASPGAMT02.FNBM.CORP";"Microsoft Corporation";"20180226";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASPGAMT02.FNBM.CORP";"Microsoft Corporation";"20180226";"10.0.30319";;;;
"Microsoft Web Deploy 3.5";"LASPGAMT02.FNBM.CORP";"Microsoft Corporation";"20180328";"3.1237.1764";;;;
"NCache";"LASPGAMT02.FNBM.CORP";"Alachisoft";"20180404";"4.6.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPGAMT02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPGAMT02.FNBM.CORP";"Symantec Corporation";"20180223";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASPGAMT02.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
"VMware Tools";"LASPGAMT02.FNBM.CORP";"VMware, Inc.";"20180112";"10.1.0.4449150";;;;
